GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backendapp,com.citi.trade.recommendation.repository,UserRepository,11,48,2,2,4,13,2,4,0,4
backendapp,com.citi.trade.recommendation.repository,UserHistoryRepository,53,158,2,2,18,31,3,8,1,8
backendapp,com.citi.trade.recommendation.repository,SectorStocksRepository,27,101,3,3,9,28,3,8,0,8
backendapp,com.citi.trade.recommendation.util,SortingParameterList,0,21,0,0,0,2,0,1,0,1
backendapp,com.citi.trade.recommendation.controller,SectorStocksController,0,39,0,0,0,10,0,6,0,6
backendapp,com.citi.trade.recommendation.controller,StockDetailsController,22,27,0,0,7,6,1,4,1,4
backendapp,com.citi.trade.recommendation.controller,UserController,2,19,1,1,0,4,1,3,0,3
backendapp,com.citi.trade.recommendation.controller,UserHistoryController,2,58,1,1,0,13,1,7,0,7
backendapp,com.citi.trade.recommendation,BackendappApplication,5,3,0,0,2,1,1,1,1,1
backendapp,com.citi.trade.recommendation.service,UserServiceImpl,7,60,2,2,2,13,2,4,0,4
backendapp,com.citi.trade.recommendation.service,StockDetailsServiceImpl,63,301,3,15,27,76,4,15,1,9
backendapp,com.citi.trade.recommendation.service,SortStocksServiceImpl,4,66,1,5,2,18,1,5,0,3
backendapp,com.citi.trade.recommendation.service,SectorStocksServiceImpl,38,146,7,7,12,42,7,9,0,9
backendapp,com.citi.trade.recommendation.service,UserHistoryServiceImpl,42,128,5,9,16,31,6,8,1,6
